Company Name,Ticker,Sector,Exchange,Market Cap
BROADCOM CORP-A,BRCM,Computer and Technology,NSDQ,30544.24
BROOKLINE BC,BRKL,Finance,NSDQ,779.73
BRUKER CORP,BRKR,Computer and Technology,NSDQ,3347.02
BROOKS AUTOMATN,BRKS,Computer and Technology,NSDQ,757.81
BIO REFERNC LAB,BRLI,Medical,NSDQ,1043.18
BASSETT FURNITR,BSET,Consumer Discretionary,NSDQ,344.08
BEAR STATE FINL,BSF,Finance,NSDQ,306.95
BROADSOFT INC,BSFT,Computer and Technology,NSDQ,1006.6
BIOSPECIFICS TE,BSTC,Medical,NSDQ,407.77
BLUE BUFFALO,BUFF,Consumer Staples,NSDQ,5407.61
FIRST BUSEY-A,BUSE,Finance,NSDQ,548.32
BAZAARVOICE INC,BV,Computer and Technology,NSDQ,440.46
BALDWIN&LYONS A,BWINA,Finance,NSDQ,349.21
BALDWIN&LYONS B,BWINB,Finance,NSDQ,344.26
BUFFALO WLD WNG,BWLD,Retail-Wholesale,NSDQ,3663.81
CA INC,CA,Computer and Technology,NSDQ,12833.15
CAMDEN NTL CORP,CAC,Finance,NSDQ,301.5
CASCADE BANCORP,CACB,Finance,NSDQ,400.67
CREDIT ACCEPT,CACC,Finance,NSDQ,4761.85
CEASERS ACQ-A,CACQ,Consumer Discretionary,NSDQ,967.17
CHEESECAKE FACT,CAKE,Retail-Wholesale,NSDQ,2756.08
CALLIDUS SOFTWR,CALD,Computer and Technology,NSDQ,875.54
CAL-MAINE FOODS,CALM,Consumer Staples,NSDQ,2645.08
CALAMP CORP,CAMP,Computer and Technology,NSDQ,593.67
AVIS BUDGET GRP,CAR,Business Services,NSDQ,4464.59
CARA THERAPEUTC,CARA,Medical,NSDQ,568.97
CARBONITE INC,CARB,Computer and Technology,NSDQ,318.7
META FINL GRP,CASH,Finance,NSDQ,338.09
CASS INFO SYS,CASS,Computer and Technology,NSDQ,578.59
CASEYS GEN STRS,CASY,Retail-Wholesale,NSDQ,4004.11
CARDTRONICS INC,CATM,Business Services,NSDQ,1572.22
CATHAY GENL BCP,CATY,Finance,NSDQ,2575.2
CAVIUM INC,CAVM,Computer and Technology,NSDQ,3823.93
CAPITAL BNK FIN,CBF,Finance,NSDQ,895.98
CBOE HOLDINGS,CBOE,Finance,NSDQ,5255.03
CHINA BIOLOGIC,CBPO,Medical,NSDQ,3056.99
CRACKER BARREL,CBRL,Retail-Wholesale,NSDQ,3656.95
COMMERCE BANCSH,CBSH,Finance,NSDQ,4553.39
CSI COMPRESSCO,CCLP,Oils-Energy,NSDQ,472.08
