Company Name,Ticker,Sector,Market Cap,Exchange
YAMANA GOLD INC,AUY,Basic Materials,1769.95,NYSE
AVIVA PLC-ADR,AV,Finance,33213.36,NYSE
AVISTA CORP,AVA,Utilities,2042.59,NYSE
GRUPO AVAL SA,AVAL,Finance,2045.93,NYSE
AVALONBAY CMMTY,AVB,Finance,22980.88,NYSE
AMER VANGUARD,AVD,Basic Materials,331.44,NYSE
AVG TECHNOLOGS,AVG,Computer and Technology,1328.19,NYSE
AVIANCA HOLDNGS,AVH,Transportation,657.48,NYSE
AVOLON HOLDINGS,AVOL,Transportation,2370.66,NYSE
AVON PRODS INC,AVP,Consumer Staples,2668.27,NYSE
AVNET,AVT,Computer and Technology,5871.63,NYSE
AVX CORP,AVX,Computer and Technology,2200.67,NYSE
AVERY DENNISON,AVY,Industrial Products,5738.03,NYSE
ALLIANCE WORLD,AWF,Finance,989.92,NYSE
ALLIED WORLD AS,AWH,Finance,3864.28,NYSE
ARMSTRONG WORLD,AWI,Construction,3145.14,NYSE
AMER WATER WORK,AWK,Utilities,9413.81,NYSE
AMER STATES WTR,AWR,Utilities,1466.24,NYSE
ANIXTER INTL,AXE,Computer and Technology,2077.71,NYSE
AMER AXLE & MFG,AXL,Auto-Tires-Trucks,1575.18,NYSE
AXIALL CORP,AXLL,Basic Materials,1984.11,NYSE
AXOVANT SCIENC,AXON,Medical,1177.9,NYSE
AMER EXPRESS CO,AXP,Finance,79822.28,NYSE
AXIS CAP HLDGS,AXS,Finance,5740.45,NYSE
AXALTA COAT SYS,AXTA,Basic Materials,7170.5,NYSE
ACUITY BRANDS,AYI,Construction,8994.47,NYSE
AIRCASTLE LTD,AYR,Transportation,1898.01,NYSE
ASTRAZENECA PLC,AZN,Medical,85168.32,NYSE
AUTOZONE INC,AZO,Retail-Wholesale,21746.24,NYSE
AZZ INC,AZZ,Industrial Products,1337.51,NYSE
BARNES GRP,B,Industrial Products,2183.93,NYSE
BOEING CO,BA,Aerospace,96773.68,NYSE
ALIBABA GROUP,BABA,Retail-Wholesale,196695.23,NYSE
BANK OF AMER CP,BAC,Finance,185816.67,NYSE
BOOZ ALLEN HMLT,BAH,Business Services,3919.78,NYSE
BRASKEM SA,BAK,Oils-Energy,2945.97,NYSE
BROOKFIELD ASST,BAM,Finance,33841.16,NYSE
BANC OF CA INC,BANC,Finance,424.2,NYSE
CREDICORP LTD,BAP,Finance,10360.03,NYSE
BASIC EGY SVCS,BAS,Oils-Energy,266,NYSE
BAXTER INTL,BAX,Medical,22763.08,NYSE
BANCO BRADESCO,BBD,Finance,36197.67,NYSE
BANCO BRADE-ADR,BBDO,Finance,19338.65,NYSE
BILLITON ADR,BBL,Basic Materials,38841,NYSE
BB&T CORP,BBT,Finance,29544.62,NYSE
BANCO BILBAO VZ,BBVA,Finance,63369.73,NYSE
BUILD-A-BEAR WK,BBW,Retail-Wholesale,356.88,NYSE
BBX CAPITAL CP,BBX,Finance,258.75,NYSE
BEST BUY,BBY,Retail-Wholesale,10851.24,NYSE
BRUNSWICK CORP,BC,Consumer Discretionary,4847.23,NYSE
CORPBANCA -ADR,BCA,Finance,3396.77,NYSE
BOISE CASCADE,BCC,Construction,1243.28,NYSE
BCE INC,BCE,Utilities,34967.82,NYSE
BONANZA CREEK,BCEI,Oils-Energy,336.3,NYSE
BANCO DE CHILE,BCH,Finance,10068.18,NYSE
BRINKS CO THE,BCO,Business Services,1456.16,NYSE
BARD C R INC,BCR,Medical,14733.7,NYSE
BARCLAY PLC-ADR,BCS,Finance,73058.3,NYSE
BELDEN INC,BDC,Industrial Products,2380.99,NYSE
BRANDYWINE RT,BDN,Finance,2441.22,NYSE
BECTON DICKINSO,BDX,Medical,31181.76,NYSE
STRATEGIC HOTEL,BEE,Finance,3639.65,NYSE
BELMOND LTD,BEL,Consumer Discretionary,1216.95,NYSE
FRANKLIN RESOUR,BEN,Finance,27210.55,NYSE
BROOKFLD RENWBL,BEP,Utilities,4074.02,NYSE
BERRY PLASTICS,BERY,Industrial Products,3511.34,NYSE
BROWN-FORMAN -A,BF.A,Consumer Staples,24797.97,NYSE
BROWN FORMAN  B,BF.B,Consumer Staples,22731.99,NYSE
BRIGHT HORZN FS,BFAM,Consumer Discretionary,3832.47,NYSE
BANCO FRANC-ADR,BFR,Finance,3117.2,NYSE
SAUL CENTERS,BFS,Finance,1093.5,NYSE
BUNGE LTD,BG,Basic Materials,10963.79,NYSE
GENL CABLE CORP,BGC,Industrial Products,783.67,NYSE
BRIGGS & STRATT,BGG,Industrial Products,811.72,NYSE
B&G FOODS CL-A,BGS,Consumer Staples,1728.29,NYSE
BIGLARI HOLDING,BH,Retail-Wholesale,874.64,NYSE
BENCHMARK ELETR,BHE,Computer and Technology,1149.63,NYSE
BAKER-HUGHES,BHI,Oils-Energy,24287.35,NYSE
BERKSHIRE HILLS,BHLB,Finance,852.86,NYSE
BHP BILLITN LTD,BHP,Basic Materials,62049.89,NYSE
SOTHEBYS,BID,Business Services,2605.11,NYSE
BOULDER GR&INC,BIF,Finance,866.82,NYSE
BIG LOTS INC,BIG,Retail-Wholesale,2173.3,NYSE
PROGRESSV WASTE,BIN,Industrial Products,2963.6,NYSE
BIO-RAD LABS -A,BIO,Medical,4335.43,NYSE
BIO-RAD LABS -B,BIO.B,Medical,4372.14,NYSE
BROOKFIELD INFR,BIP,Utilities,6768.91,NYSE
BITAUTO HOLDNGS,BITA,Computer and Technology,1841.28,NYSE
BANK OF NY MELL,BK,Finance,50215.54,NYSE
BROOKDALE SENR,BKD,Medical,5362.24,NYSE
BUCKLE INC,BKE,Retail-Wholesale,2073.29,NYSE
BLACK KNGHT FIN,BKFS,Computer and Technology,2265.33,NYSE
BLACK HILLS COR,BKH,Utilities,1873.56,NYSE
BLACKROCK INVT,BKN,Finance,259.14,NYSE
BARNES & NOBLE,BKS,Retail-Wholesale,1203.84,NYSE
BLACKROCK INCOM,BKT,Finance,406.68,NYSE
BANKUNITED INC,BKU,Finance,3820.33,NYSE
TOPBUILD CORP,BLD,Construction,1085.85,NYSE
BLACKROCK INC,BLK,Finance,55212.87,NYSE
BALL CORP,BLL,Industrial Products,9577.74,NYSE
INFOBLOX INC,BLOX,Computer and Technology,1323.3,NYSE
BLOUNT INTL,BLT,Industrial Products,347.69,NYSE
BANCO LATINOAME,BLX,Finance,1019.05,NYSE
BANCO MACRO-ADR,BMA,Finance,2735.82,NYSE
BADGER METER,BMI,Computer and Technology,838.71,NYSE
BANK MONTREAL,BMO,Finance,35812.72,NYSE
BIOMED RLTY TR,BMR,Finance,4250.5,NYSE
BEMIS,BMS,Industrial Products,4386.79,NYSE
BRISTOL-MYERS,BMY,Medical,105736.37,NYSE
C1 FINANCIAL,BNK,Finance,294.97,NYSE
BANK OF NOVA SC,BNS,Finance,57817.08,NYSE
BANK OF HAWAII,BOH,Finance,2942.84,NYSE
BOOT BARN HLDGS,BOOT,Retail-Wholesale,690.83,NYSE
BOX INC-A,BOX,Computer and Technology,1877.84,NYSE
BROOKFLD CDA OP,BOXC,Finance,509.07,NYSE
